unit,16,version,1,,,,
id,filename,lot,index,left,top,width,height
Tools.png#Tool0,Tools.png,21x1,"0,0",0,0,336,16
Tools.png#Tool0_X0Y0,Tools.png,1x1,"0,0",0,0,16,16
Tools.png#Tool0_X1Y0,Tools.png,1x1,"1,0",16,0,16,16
Tools.png#Tool0_X2Y0,Tools.png,1x1,"2,0",32,0,16,16
Tools.png#Tool0_X3Y0,Tools.png,1x1,"3,0",48,0,16,16
Tools.png#Tool0_X4Y0,Tools.png,1x1,"4,0",64,0,16,16
Tools.png#Tool0_X5Y0,Tools.png,1x1,"5,0",80,0,16,16
Tools.png#Tool0_X6Y0,Tools.png,1x1,"6,0",96,0,16,16
Tools.png#Tool0_X7Y0,Tools.png,1x1,"7,0",112,0,16,16
Tools.png#Tool0_X8Y0,Tools.png,1x1,"8,0",128,0,16,16
Tools.png#Tool0_X9Y0,Tools.png,1x1,"9,0",144,0,16,16
Tools.png#Tool0_X10Y0,Tools.png,1x1,"10,0",160,0,16,16
Tools.png#Tool0_X11Y0,Tools.png,1x1,"11,0",176,0,16,16
Tools.png#Tool0_X12Y0,Tools.png,1x1,"12,0",192,0,16,16
Tools.png#Tool0_X13Y0,Tools.png,1x1,"13,0",208,0,16,16
Tools.png#Tool0_X14Y0,Tools.png,1x1,"14,0",224,0,16,16
Tools.png#Tool0_X15Y0,Tools.png,1x1,"15,0",240,0,16,16
Tools.png#Tool0_X16Y0,Tools.png,1x1,"16,0",256,0,16,16
Tools.png#Tool0_X17Y0,Tools.png,1x1,"17,0",272,0,16,16
Tools.png#Tool0_X18Y0,Tools.png,1x1,"18,0",288,0,16,16
Tools.png#Tool0_X19Y0,Tools.png,1x1,"19,0",304,0,16,16
Tools.png#Tool0_X20Y0,Tools.png,1x1,"20,0",320,0,16,16
Tools.png#Hoe,Tools.png,5x2,"0,0",0,16,80,32
Tools.png#Hoe_X0Y0,Tools.png,1x2,"0,0",0,16,16,32
Tools.png#Hoe_X1Y0,Tools.png,1x2,"1,0",16,16,16,32
